File Path,Description,Lines of Code,System,Subsystem
Engine/ECS/Core/ECS_Query.h,"Query API definitions (12,000 LOC)",12000,ECS,Core
Engine/ECS/Core/ECS_Registry.c,"Component and system registry (40,000 LOC)",40000,ECS,Core
Engine/ECS/Core/ECS_Registry.h,"Registry API definitions (8,000 LOC)",8000,ECS,Core
Engine/ECS/Core/ECS_Events.c,"ECS event system (35,000 LOC)",35000,ECS,Core
Engine/ECS/Core/ECS_Events.h,"Event API definitions (7,000 LOC)",7000,ECS,Core
Engine/ECS/Archetypes/ECS_Archetype.c,"Archetype management and storage (120,000 LOC)",120000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Archetype.h,"Archetype API definitions (25,000 LOC)",25000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Chunk.c,"Chunk-based component storage (100,000 LOC)",100000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Chunk.h,"Chunk API definitions (20,000 LOC)",20000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Table.c,"Archetype tables (55,000 LOC)",55000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Table.h,"Table API definitions (12,000 LOC)",12000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Edge.c,"Archetype edges (35,000 LOC)",35000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_Edge.h,"Edge API definitions (8,000 LOC)",8000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_QueryCache.c,"Query result caching (40,000 LOC)",40000,ECS,Archetypes
Engine/ECS/Archetypes/ECS_QueryCache.h,"Query cache API (8,000 LOC)",8000,ECS,Archetypes
Engine/ECS/Queries/Query_Builder.c,"Query builder implementation (80,000 LOC)",80000,ECS,Queries
Engine/ECS/Queries/Query_Builder.h,"Query builder API (15,000 LOC)",15000,ECS,Queries
Engine/ECS/Queries/Query_Filter.c,"Query filtering system (70,000 LOC)",70000,ECS,Queries
Engine/ECS/Queries/Query_Filter.h,"Query filter API (14,000 LOC)",14000,ECS,Queries
Engine/ECS/Queries/Query_Cache.c,"Query result caching (60,000 LOC)",60000,ECS,Queries
Engine/ECS/Queries/Query_Cache.h,"Query cache API (12,000 LOC)",12000,ECS,Queries
Engine/ECS/Queries/Query_Optimizer.c,"Query optimization (40,000 LOC)",40000,ECS,Queries
Engine/ECS/Queries/Query_Optimizer.h,"Query optimizer API (8,000 LOC)",8000,ECS,Queries
Engine/ECS/Queries/Query_Execution.c,"Query execution engine (50,000 LOC)",50000,ECS,Queries
Engine/ECS/Queries/Query_Execution.h,"Query execution API (10,000 LOC)",10000,ECS,Queries
Engine/ECS/Queries/Query_Parallel.c,"Parallel query execution (35,000 LOC)",35000,ECS,Queries
Engine/ECS/Queries/Query_Parallel.h,"Parallel query API (7,000 LOC)",7000,ECS,Queries
Engine/ECS/Components/Transform.c,"Transform component (30,000 LOC)",30000,ECS,Components
Engine/ECS/Components/Transform.h,"Transform component API (6,000 LOC)",6000,ECS,Components
Engine/ECS/Components/Render.c,"Render component (40,000 LOC)",40000,ECS,Components
Engine/ECS/Components/Render.h,"Render component API (8,000 LOC)",8000,ECS,Components
Engine/ECS/Components/Physics.c,"Physics component (50,000 LOC)",50000,ECS,Components
Engine/ECS/Components/Physics.h,"Physics component API (10,000 LOC)",10000,ECS,Components
Engine/ECS/Components/Animation.c,"Animation component (35,000 LOC)",35000,ECS,Components
Engine/ECS/Components/Animation.h,"Animation component API (7,000 LOC)",7000,ECS,Components
Engine/ECS/Components/Audio.c,"Audio component (25,000 LOC)",25000,ECS,Components
Engine/ECS/Components/Audio.h,"Audio component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Script.c,"Script component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Script.h,"Script component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Input.c,"Input component (15,000 LOC)",15000,ECS,Components
Engine/ECS/Components/Input.h,"Input component API (3,000 LOC)",3000,ECS,Components
Engine/ECS/Components/Network.c,"Network component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Network.h,"Network component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/UI.c,"UI component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/UI.h,"UI component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Light.c,"Light component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Light.h,"Light component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Camera.c,"Camera component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Camera.h,"Camera component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Particle.c,"Particle component (16,000 LOC)",16000,ECS,Components
Engine/ECS/Components/Particle.h,"Particle component API (3,500 LOC)",3500,ECS,Components
Engine/ECS/Components/Collider.c,"Collider component (25,000 LOC)",25000,ECS,Components
Engine/ECS/Components/Collider.h,"Collider component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/RigidBody.c,"Rigid body component (30,000 LOC)",30000,ECS,Components
Engine/ECS/Components/RigidBody.h,"Rigid body component API (6,000 LOC)",6000,ECS,Components
Engine/ECS/Components/Constraint.c,"Constraint component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Constraint.h,"Constraint component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/NavMesh.c,"Navigation mesh component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/NavMesh.h,"Navigation mesh component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/AI.c,"AI component (28,000 LOC)",28000,ECS,Components
Engine/ECS/Components/AI.h,"AI component API (6,000 LOC)",6000,ECS,Components
Engine/ECS/Components/Voxel.c,"Voxel component (24,000 LOC)",24000,ECS,Components
Engine/ECS/Components/Voxel.h,"Voxel component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Chunk.c,"Chunk component (26,000 LOC)",26000,ECS,Components
Engine/ECS/Components/Chunk.h,"Chunk component API (5,500 LOC)",5500,ECS,Components
Engine/ECS/Components/Block.c,"Block component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Block.h,"Block component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Item.c,"Item component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Item.h,"Item component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Inventory.c,"Inventory component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/Inventory.h,"Inventory component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Equipment.c,"Equipment component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Equipment.h,"Equipment component API (4,500 LOC)",4500,ECS,Components
Engine/ECS/Components/Stats.c,"Stats component (24,000 LOC)",24000,ECS,Components
Engine/ECS/Components/Stats.h,"Stats component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Skill.c,"Skill component (26,000 LOC)",26000,ECS,Components
Engine/ECS/Components/Skill.h,"Skill component API (5,500 LOC)",5500,ECS,Components
Engine/ECS/Components/Quest.c,"Quest component (28,000 LOC)",28000,ECS,Components
Engine/ECS/Components/Quest.h,"Quest component API (6,000 LOC)",6000,ECS,Components
Engine/ECS/Components/Dialogue.c,"Dialogue component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/Dialogue.h,"Dialogue component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Lore.c,"Lore component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Lore.h,"Lore component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Achievement.c,"Achievement component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Achievement.h,"Achievement component API (4,500 LOC)",4500,ECS,Components
Engine/ECS/Components/SaveGame.c,"Save game component (24,000 LOC)",24000,ECS,Components
Engine/ECS/Components/SaveGame.h,"Save game component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Metadata.c,"Metadata component (16,000 LOC)",16000,ECS,Components
Engine/ECS/Components/Metadata.h,"Metadata component API (3,500 LOC)",3500,ECS,Components
Engine/ECS/Components/Tag.c,"Tag component (14,000 LOC)",14000,ECS,Components
Engine/ECS/Components/Tag.h,"Tag component API (3,000 LOC)",3000,ECS,Components
Engine/ECS/Components/Layer.c,"Layer component (15,000 LOC)",15000,ECS,Components
Engine/ECS/Components/Layer.h,"Layer component API (3,500 LOC)",3500,ECS,Components
Engine/ECS/Components/Sorting.c,"Sorting component (12,000 LOC)",12000,ECS,Components
Engine/ECS/Components/Sorting.h,"Sorting component API (3,000 LOC)",3000,ECS,Components
Engine/ECS/Components/Visibility.c,"Visibility component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Visibility.h,"Visibility component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Culling.c,"Culling component (16,000 LOC)",16000,ECS,Components
Engine/ECS/Components/Culling.h,"Culling component API (3,500 LOC)",3500,ECS,Components
Engine/ECS/Components/LOD.c,"LOD component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/LOD.h,"LOD component API (4,500 LOC)",4500,ECS,Components
Engine/ECS/Components/Billboard.c,"Billboard component (14,000 LOC)",14000,ECS,Components
Engine/ECS/Components/Billboard.h,"Billboard component API (3,000 LOC)",3000,ECS,Components
Engine/ECS/Components/Decal.c,"Decal component (16,000 LOC)",16000,ECS,Components
Engine/ECS/Components/Decal.h,"Decal component API (3,500 LOC)",3500,ECS,Components
Engine/ECS/Components/Probe.c,"Reflection probe component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Probe.h,"Reflection probe component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Volumetric.c,"Volumetric component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/Volumetric.h,"Volumetric component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Atmosphere.c,"Atmosphere component (24,000 LOC)",24000,ECS,Components
Engine/ECS/Components/Atmosphere.h,"Atmosphere component API (5,500 LOC)",5500,ECS,Components
Engine/ECS/Components/Weather.c,"Weather component (26,000 LOC)",26000,ECS,Components
Engine/ECS/Components/Weather.h,"Weather component API (6,000 LOC)",6000,ECS,Components
Engine/ECS/Components/Time.c,"Time component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Time.h,"Time component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Calendar.c,"Calendar component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Calendar.h,"Calendar component API (4,500 LOC)",4500,ECS,Components
Engine/ECS/Components/Season.c,"Season component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/Season.h,"Season component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Temperature.c,"Temperature component (24,000 LOC)",24000,ECS,Components
Engine/ECS/Components/Temperature.h,"Temperature component API (5,500 LOC)",5500,ECS,Components
Engine/ECS/Components/Humidity.c,"Humidity component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Humidity.h,"Humidity component API (4,500 LOC)",4500,ECS,Components
Engine/ECS/Components/Precipitation.c,"Precipitation component (26,000 LOC)",26000,ECS,Components
Engine/ECS/Components/Precipitation.h,"Precipitation component API (6,000 LOC)",6000,ECS,Components
Engine/ECS/Components/Wind.c,"Wind component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/Wind.h,"Wind component API (5,000 LOC)",5000,ECS,Components
Engine/ECS/Components/Cloud.c,"Cloud component (24,000 LOC)",24000,ECS,Components
Engine/ECS/Components/Cloud.h,"Cloud component API (5,500 LOC)",5500,ECS,Components
Engine/ECS/Components/Fog.c,"Fog component (20,000 LOC)",20000,ECS,Components
Engine/ECS/Components/Fog.h,"Fog component API (4,500 LOC)",4500,ECS,Components
Engine/ECS/Components/Sun.c,"Sun component (18,000 LOC)",18000,ECS,Components
Engine/ECS/Components/Sun.h,"Sun component API (4,000 LOC)",4000,ECS,Components
Engine/ECS/Components/Moon.c,"Moon component (16,000 LOC)",16000,ECS,Components
Engine/ECS/Components/Moon.h,"Moon component API (3,500 LOC)",3500,ECS,Components
Engine/ECS/Components/Stars.c,"Stars component (14,000 LOC)",14000,ECS,Components
Engine/ECS/Components/Stars.h,"Stars component API (3,000 LOC)",3000,ECS,Components
Engine/ECS/Components/Planet.c,"Planet component (22,000 LOC)",22000,ECS,Components
Engine/ECS/Components/Planet.h,"Planet component API (5,000 LOC)",5000,ECS,Components
Engine/Render/Device/Render_Device.c,"Render device abstraction (100,000 LOC)",100000,Rendering,Device
Engine/Render/Device/Render_Device.h,"Render device API (20,000 LOC)",20000,Rendering,Device
Engine/Render/Device/Render_OpenGL.c,"OpenGL backend implementation (80,000 LOC)",80000,Rendering,Device
Engine/Render/Device/Render_OpenGL.h,"OpenGL backend API (15,000 LOC)",15000,Rendering,Device
Engine/Render/Device/Render_Vulkan.c,"Vulkan backend implementation (100,000 LOC)",100000,Rendering,Device
Engine/Render/Device/Render_Vulkan.h,"Vulkan backend API (20,000 LOC)",20000,Rendering,Device
Engine/Render/Device/Render_Metal.c,"Metal backend implementation (70,000 LOC)",70000,Rendering,Device
Engine/Render/Device/Render_Metal.h,"Metal backend API (14,000 LOC)",14000,Rendering,Device
Engine/Render/Device/Render_D3D12.c,"DirectX 12 backend implementation (80,000 LOC)",80000,Rendering,Device
Engine/Render/Device/Render_D3D12.h,"DirectX 12 backend API (16,000 LOC)",16000,Rendering,Device
Engine/Render/Device/Render_D3D11.c,"DirectX 11 backend implementation (60,000 LOC)",60000,Rendering,Device
Engine/Render/Device/Render_D3D11.h,"DirectX 11 backend API (12,000 LOC)",12000,Rendering,Device
Engine/Render/Device/Render_GLES.c,"OpenGL ES backend implementation (50,000 LOC)",50000,Rendering,Device
Engine/Render/Device/Render_GLES.h,"OpenGL ES backend API (10,000 LOC)",10000,Rendering,Device
Engine/Render/Device/Render_WebGL.c,"WebGL backend implementation (40,000 LOC)",40000,Rendering,Device
Engine/Render/Device/Render_WebGL.h,"WebGL backend API (8,000 LOC)",8000,Rendering,Device
Engine/Render/Shaders/Shader_Compiler.c,"Shader compilation system (120,000 LOC)",120000,Rendering,Shaders
Engine/Render/Shaders/Shader_Linker.c,"Shader linking system (80,000 LOC)",80000,Rendering,Shaders
Engine/Render/Shaders/Shader_Cache.c,"Shader compilation cache (60,000 LOC)",60000,Rendering,Shaders
Engine/Render/Shaders/Shader_HotReload.c,"Shader hot reload system (40,000 LOC)",40000,Rendering,Shaders
Engine/Render/Shaders/Shader_Preprocessor.c,"Shader preprocessor (50,000 LOC)",50000,Rendering,Shaders
Engine/Render/Shaders/GLSL_Compiler.c,"GLSL compilation (50,000 LOC)",50000,Rendering,Shaders
Engine/Render/Shaders/HLSL_Compiler.c,"HLSL compilation (50,000 LOC)",50000,Rendering,Shaders
Engine/Render/Shaders/Metal_Compiler.c,"Metal shader compilation (45,000 LOC)",45000,Rendering,Shaders
Engine/Render/Shaders/Shader_Reflection.c,"Shader reflection data (35,000 LOC)",35000,Rendering,Shaders
Engine/Render/Shaders/Shader_Variants.c,"Shader variant system (30,000 LOC)",30000,Rendering,Shaders
Engine/Render/Pipelines/Pipeline_Cache.c,"Graphics pipeline cache (80,000 LOC)",80000,Rendering,Pipelines
Engine/Render/Pipelines/Pipeline_Builder.c,"Pipeline state builder (100,000 LOC)",100000,Rendering,Pipelines
Engine/Render/Pipelines/Pipeline_State.c,"Pipeline state management (60,000 LOC)",60000,Rendering,Pipelines
Engine/Render/Pipelines/Pipeline_Library.c,"Pipeline library (60,000 LOC)",60000,Rendering,Pipelines
Engine/Render/Passes/Shadow_Pass.c,"Shadow mapping pass (60,000 LOC)",60000,Rendering,Passes
Engine/Render/Passes/Geometry_Pass.c,"Geometry rendering pass (50,000 LOC)",50000,Rendering,Passes
Engine/Render/Passes/Lighting_Pass.c,"Deferred lighting pass (70,000 LOC)",70000,Rendering,Passes
Engine/Render/Passes/Forward_Pass.c,"Forward rendering pass (40,000 LOC)",40000,Rendering,Passes
Engine/Render/Passes/PostProcess_Pass.c,"Post-processing pass (70,000 LOC)",70000,Rendering,Passes
Engine/Render/Passes/Transparent_Pass.c,"Transparent rendering pass (45,000 LOC)",45000,Rendering,Passes
Engine/Render/Passes/UI_Pass.c,"UI rendering pass (35,000 LOC)",35000,Rendering,Passes
Engine/Render/Passes/Debug_Pass.c,"Debug rendering pass (40,000 LOC)",40000,Rendering,Passes
Engine/Render/Passes/ShadowMap_Pass.c,"Shadow map generation (55,000 LOC)",55000,Rendering,Passes
Engine/Render/Passes/Cubemap_Pass.c,"Cubemap rendering pass (35,000 LOC)",35000,Rendering,Passes
Engine/Render/Passes/Environment_Pass.c,"Environment rendering pass (40,000 LOC)",40000,Rendering,Passes
Engine/Render/Passes/Reflection_Pass.c,"Reflection rendering pass (45,000 LOC)",45000,Rendering,Passes
Engine/Render/Passes/Refraction_Pass.c,"Refraction rendering pass (40,000 LOC)",40000,Rendering,Passes
Engine/Render/Passes/Volumetric_Pass.c,"Volumetric rendering pass (50,000 LOC)",50000,Rendering,Passes
Engine/Render/Passes/Atmospheric_Pass.c,"Atmospheric scattering pass (45,000 LOC)",45000,Rendering,Passes
Engine/Render/Passes/Cloud_Pass.c,"Cloud rendering pass (35,000 LOC)",35000,Rendering,Passes
Engine/Render/Passes/Ocean_Pass.c,"Ocean rendering pass (40,000 LOC)",40000,Rendering,Passes
Engine/Render/Passes/Terrain_Pass.c,"Terrain rendering pass (45,000 LOC)",45000,Rendering,Passes
Engine/Render/Passes/Grass_Pass.c,"Grass rendering pass (35,000 LOC)",35000,Rendering,Passes
Engine/Render/Passes/Foliage_Pass.c,"Foliage rendering pass (35,000 LOC)",35000,Rendering,Passes
Engine/Render/Passes/Particle_Pass.c,"Particle rendering pass (40,000 LOC)",40000,Rendering,Passes
Engine/Render/Passes/Decal_Pass.c,"Decal rendering pass (30,000 LOC)",30000,Rendering,Passes
Engine/Render/Passes/Probe_Pass.c,"Light probe rendering pass (35,000 LOC)",35000,Rendering,Passes
Engine/Render/Passes/Gizmo_Pass.c,"Gizmo rendering pass (25,000 LOC)",25000,Rendering,Passes
Engine/Render/Materials/Material_System.c,"Material system core (80,000 LOC)",80000,Rendering,Materials
Engine/Render/Materials/Material_Instances.c,"Material instance management (60,000 LOC)",60000,Rendering,Materials
Engine/Render/Materials/Material_Parameters.c,"Material parameter system (60,000 LOC)",60000,Rendering,Materials
Engine/Render/Materials/Material_Library.c,"Material library (50,000 LOC)",50000,Rendering,Materials
Engine/Render/Materials/Material_Editor.c,"Material editor integration (40,000 LOC)",40000,Rendering,Materials
Engine/Render/Materials/Material_Variants.c,"Material variant system (35,000 LOC)",35000,Rendering,Materials
Engine/Render/Materials/Material_Converter.c,"Material format conversion (30,000 LOC)",30000,Rendering,Materials
Engine/Render/Textures/Texture_System.c,"Texture system core (60,000 LOC)",60000,Rendering,Textures
