id,agent,phase,category,description,status,priority,files,deadline
GEO-002,Jules-Geometry,11,Geometry > LOD,LOD generation and management,pending,HIGH,src/engine/geometry/lod/,Week 22
GEO-003,Jules-Geometry,11,Geometry > CSG,CSG operations (union/intersection),pending,MEDIUM,src/engine/geometry/csg/,Week 22
GEO-004,Jules-Geometry,11,Geometry > Optimization,Vertex normal calculation and optimization,pending,MEDIUM,src/engine/geometry/,Week 22
MAT-001,Jules-Materials,12,Materials > System,Material system implementation,pending,HIGH,src/engine/materials/,Week 24
MAT-002,Jules-Materials,12,Materials > Editor,Material editor interface,pending,HIGH,src/engine/materials/editor/,Week 24
MAT-003,Jules-Materials,12,Materials > Compilation,Shader compilation pipeline,pending,MEDIUM,src/engine/materials/compilation/,Week 24
MAT-004,Jules-Materials,12,Materials > Properties,Material properties and parameters,pending,MEDIUM,src/engine/materials/,Week 24
LIGHT-001,Jules-Lighting,13,Lighting > Real-Time,Real-time lighting implementation,pending,HIGH,src/engine/lighting/,Week 26
LIGHT-002,Jules-Lighting,13,Lighting > Shadows,Shadow mapping system,pending,HIGH,src/engine/lighting/shadows/,Week 26
LIGHT-003,Jules-Lighting,13,Lighting > GI,Global illumination implementation,pending,MEDIUM,src/engine/lighting/gi/,Week 26
LIGHT-004,Jules-Lighting,13,Lighting > Probes,Light probe system,pending,MEDIUM,src/engine/lighting/probes/,Week 26
FX-001,Jules-Effects,14,Effects > Particles,Particle system implementation,pending,HIGH,src/engine/effects/particles/,Week 28
FX-002,Jules-Effects,14,Effects > Collision,Particle collision system,pending,HIGH,src/engine/effects/particles/,Week 28
FX-003,Jules-Effects,14,Effects > Decals,Decal rendering system,pending,MEDIUM,src/engine/effects/decals/,Week 28
FX-004,Jules-Effects,14,Effects > Trails,Trail effects system,pending,MEDIUM,src/engine/effects/trails/,Week 28
TOOLS-001,Jules-Tools,15,Tools > Level Editor,Level editor implementation,pending,HIGH,src/engine/editor/,Week 30
TOOLS-002,Jules-Tools,15,Tools > Gizmos,Gizmo system (move/rotate/scale),pending,HIGH,src/engine/tools/,Week 30
TOOLS-003,Jules-Tools,15,Tools > Property Editor,Property editor for entities,pending,MEDIUM,src/engine/editor/,Week 30
TOOLS-004,Jules-Tools,15,Tools > Asset Browser,Asset browser interface,pending,MEDIUM,src/engine/editor/,Week 30
TOOLS-005,Jules-Tools,15,Tools > Debug Viz,Debug visualization tools,pending,MEDIUM,src/engine/debug/,Week 30
TOOLS-006,Jules-Tools,15,Tools > Console,Developer console implementation,pending,MEDIUM,src/engine/tools/,Week 30
